Day,Weight
1,38
2,42
3,47
4,52
5,57
6,63
7,69
8,75
9,82
10,89
11,96
12,104
13,112
14,121
15,130
16,138
17,147
18,156
19,165
20,175
21,185
22,195
23,206
24,216
25,227
26,239
27,251
28,263
29,275
30,287
31,300
32,313
33,326
34,339
35,353
36,367
37,381
38,396
39,411
40,427
41,443
42,459
43,475
44,491
45,507
46,522
47,538
48,553
49,568
50,583
51,598
52,613
53,628
54,642
55,657
56,671
57,685
58,669
59,713
60,727
61,741
62,754
63,768
64,781
65,794
66,807
67,820
68,833
69,846
70,859
71,874
72,887
73,900
74,912
75,924
76,937
77,949
78,961
79,973
80,985
81,997
82,1009
83,1020
84,1032
85,1044
86,1055
87,1066
88,1077
89,1088
90,1099
91,1110
92,1121
93,1132
94,1143
95,1154
96,1165
97,1176
98,1187
99,1197
100,1207
101,1216
102,1226
103,1235
104,1245
105,1254
106,1254
107,1264
108,1273
109,1283
110,1292
111,1302
112,1311
113,1321
114,1330
115,1339
116,1349
117,1359
118,1369
119,1379
120,1389
121,1400
122,1410
123,1421
124,1431
125,1442
126,1453
127,1464
128,1475
129,1486
130,1497
131,1508
132,1520
133,1531
134,1543
135,1555
136,1566
137,1578
138,1590
139,1603
140,1615
141,1627
142,1640
