,fecha real,timestamp,value,variable
0,2017-06-21 11:04:34+00:00,1498061074000,2903.49,Sensor20
1,2017-06-21 09:57:24+00:00,1498057044000,3101.61,Sensor20
2,2017-06-21 08:43:09+00:00,1498052589000,46.04,Sensor20
3,2017-06-21 07:39:28+00:00,1498048768000,2342.02,Sensor20
4,2017-06-21 06:12:38+00:00,1498043558000,68.73,Sensor20
5,2017-06-21 05:08:18+00:00,1498039698000,28.6,Sensor20
6,2017-06-21 04:01:13+00:00,1498035673000,2850.72,Sensor20
7,2017-06-21 02:46:30+00:00,1498031190000,64.52,Sensor20
8,2017-06-21 01:18:54+00:00,1498025934000,61.68,Sensor20
9,2017-06-20 23:55:19+00:00,1498020919000,3198.51,Sensor20
10,2017-06-20 22:50:54+00:00,1498017054000,70.42,Sensor20
11,2017-06-20 22:50:17+00:00,1498017017000,47.22,Sensor20
12,2017-06-20 21:19:22+00:00,1498011562000,2769.4,Sensor20
13,2017-06-20 20:24:13+00:00,1498008253000,3083.15,Sensor20
14,2017-06-20 19:16:37+00:00,1498004197000,60.09,Sensor20
15,2017-06-20 17:27:38+00:00,1497997658000,59.68,Sensor20
16,2017-06-20 16:59:56+00:00,1497995996000,28.62,Sensor20
17,2017-06-20 16:59:44+00:00,1497995984000,45.76,Sensor20
18,2017-06-20 15:44:49+00:00,1497991489000,2842.07,Sensor20
19,2017-06-20 15:17:54+00:00,1497989874000,2791.72,Sensor20
20,2017-06-20 14:36:31+00:00,1497987391000,2391.26,Sensor20
21,2017-06-20 13:05:20+00:00,1497981920000,2986.06,Sensor20
22,2017-06-20 11:57:30+00:00,1497977850000,33.96,Sensor20
23,2017-06-20 10:51:52+00:00,1497973912000,54.52,Sensor20
24,2017-06-20 09:50:45+00:00,1497970245000,3244.66,Sensor20
25,2017-06-20 08:43:19+00:00,1497966199000,2966.46,Sensor20
26,2017-06-20 07:33:31+00:00,1497962011000,2677.77,Sensor20
27,2017-06-20 06:26:00+00:00,1497957960000,3137.12,Sensor20
28,2017-06-20 05:18:45+00:00,1497953925000,48.15,Sensor20
29,2017-06-20 04:12:38+00:00,1497949958000,2714.27,Sensor20
30,2017-06-20 03:13:03+00:00,1497946383000,2716.36,Sensor20
31,2017-06-20 02:00:37+00:00,1497942037000,2599.69,Sensor20
32,2017-06-20 01:06:36+00:00,1497938796000,2549.17,Sensor20
33,2017-06-20 00:10:02+00:00,1497935402000,25.93,Sensor20
34,2017-06-20 00:09:19+00:00,1497935359000,105.81,Sensor20
35,2017-06-19 22:55:12+00:00,1497930912000,2920.2,Sensor20
36,2017-06-19 22:47:35+00:00,1497930455000,59.25,Sensor20
37,2017-06-19 22:32:52+00:00,1497929572000,28.64,Sensor20
38,2017-06-19 21:26:14+00:00,1497925574000,2839.02,Sensor20
39,2017-06-19 20:19:24+00:00,1497921564000,27.33,Sensor20
40,2017-06-19 19:15:06+00:00,1497917706000,44.6,Sensor20
41,2017-06-19 18:10:36+00:00,1497913836000,2652.93,Sensor20
42,2017-06-19 16:58:47+00:00,1497909527000,2332.61,Sensor20
43,2017-06-19 16:36:13+00:00,1497908173000,2339.88,Sensor20
44,2017-06-19 16:36:01+00:00,1497908161000,2139.07,Sensor20
45,2017-06-19 16:35:41+00:00,1497908141000,2889.04,Sensor20
46,2017-06-19 15:21:16+00:00,1497903676000,2818.81,Sensor20
47,2017-06-19 14:16:00+00:00,1497899760000,196.05,Sensor20
48,2017-06-19 13:09:47+00:00,1497895787000,32.2,Sensor20
49,2017-06-19 12:00:03+00:00,1497891603000,79.83,Sensor20
50,2017-06-19 10:53:53+00:00,1497887633000,34.58,Sensor20
51,2017-06-19 10:53:26+00:00,1497887606000,205.43,Sensor20
52,2017-06-19 09:52:25+00:00,1497883945000,84.23,Sensor20
53,2017-06-19 08:43:37+00:00,1497879817000,60.57,Sensor20
54,2017-06-19 08:41:37+00:00,1497879697000,2710.23,Sensor20
55,2017-06-19 07:36:42+00:00,1497875802000,2340.44,Sensor20
56,2017-06-19 06:30:32+00:00,1497871832000,2438.0,Sensor20
57,2017-06-19 05:29:34+00:00,1497868174000,27.78,Sensor20
58,2017-06-19 04:21:48+00:00,1497864108000,51.42,Sensor20
59,2017-06-19 03:18:53+00:00,1497860333000,26.68,Sensor20
60,2017-06-19 02:17:00+00:00,1497856620000,128.29,Sensor20
61,2017-06-19 02:16:20+00:00,1497856580000,25.27,Sensor20
62,2017-06-19 01:16:15+00:00,1497852975000,25.45,Sensor20
63,2017-06-19 00:09:21+00:00,1497848961000,142.49,Sensor20
64,2017-06-18 23:17:10+00:00,1497845830000,53.37,Sensor20
65,2017-06-18 22:13:28+00:00,1497842008000,37.38,Sensor20
66,2017-06-18 21:11:13+00:00,1497838273000,2559.1,Sensor20
67,2017-06-18 20:02:33+00:00,1497834153000,27.83,Sensor20
68,2017-06-18 18:58:10+00:00,1497830290000,2855.57,Sensor20
69,2017-06-18 17:57:02+00:00,1497826622000,2040.04,Sensor20
70,2017-06-18 17:56:58+00:00,1497826618000,2428.11,Sensor20
71,2017-06-18 16:48:04+00:00,1497822484000,2252.81,Sensor20
72,2017-06-18 16:22:35+00:00,1497820955000,51.44,Sensor20
73,2017-06-18 15:23:32+00:00,1497817412000,2091.96,Sensor20
74,2017-06-18 15:22:47+00:00,1497817367000,2224.28,Sensor20
75,2017-06-18 14:13:55+00:00,1497813235000,35.14,Sensor20
76,2017-06-18 14:13:25+00:00,1497813205000,66.79,Sensor20
77,2017-06-18 14:13:07+00:00,1497813187000,2418.61,Sensor20
78,2017-06-18 13:04:37+00:00,1497809077000,2608.34,Sensor20
79,2017-06-18 12:01:26+00:00,1497805286000,50.82,Sensor20
80,2017-06-18 10:56:03+00:00,1497801363000,2668.6,Sensor20
81,2017-06-18 10:06:58+00:00,1497798418000,2550.7,Sensor20
82,2017-06-16 05:47:36+00:00,1497610056000,27.12,Sensor20
83,2017-06-16 04:45:52+00:00,1497606352000,2151.5,Sensor20
84,2017-06-16 04:22:27+00:00,1497604947000,2501.84,Sensor20
85,2017-06-16 04:21:10+00:00,1497604870000,2517.65,Sensor20
86,2017-06-16 04:21:03+00:00,1497604863000,2517.65,Sensor20
87,2017-06-16 04:16:06+00:00,1497604566000,1901.25,Sensor20
88,2017-06-16 04:15:08+00:00,1497604508000,1874.84,Sensor20
89,2017-06-16 04:13:24+00:00,1497604404000,2273.95,Sensor20
90,2017-06-16 04:13:11+00:00,1497604391000,2101.51,Sensor20
91,2017-06-16 04:12:35+00:00,1497604355000,2101.51,Sensor20
92,2017-06-16 04:12:27+00:00,1497604347000,2101.51,Sensor20
93,2017-06-16 03:53:17+00:00,1497603197000,312.79,Sensor20
94,2017-06-16 03:52:17+00:00,1497603137000,2156.1,Sensor20
95,2017-06-16 03:39:01+00:00,1497602341000,2322.75,Sensor20
96,2017-06-16 03:37:58+00:00,1497602278000,25.96,Sensor20
97,2017-06-16 03:34:55+00:00,1497602095000,2164.75,Sensor20
98,2017-06-16 03:29:23+00:00,1497601763000,2377.36,Sensor20
99,2017-06-16 03:28:43+00:00,1497601723000,2350.03,Sensor20
100,2017-06-16 03:28:04+00:00,1497601684000,2537.37,Sensor20
101,2017-06-16 03:27:49+00:00,1497601669000,2093.37,Sensor20
102,2017-06-16 03:27:17+00:00,1497601637000,1911.46,Sensor20
103,2017-06-16 03:26:22+00:00,1497601582000,1883.81,Sensor20
104,2017-06-16 03:15:21+00:00,1497600921000,1883.81,Sensor20
105,2017-06-16 03:14:15+00:00,1497600855000,1851.38,Sensor20
106,2017-06-16 03:03:57+00:00,1497600237000,2236.88,Sensor20
107,2017-06-16 03:02:56+00:00,1497600176000,2202.45,Sensor20
108,2017-06-16 02:49:33+00:00,1497599373000,2123.47,Sensor20
109,2017-06-16 02:44:03+00:00,1497599043000,2091.59,Sensor20
110,2017-06-16 02:37:19+00:00,1497598639000,2060.42,Sensor20
111,2017-06-16 02:36:10+00:00,1497598570000,2033.72,Sensor20
112,2017-06-16 02:33:30+00:00,1497598410000,2254.7,Sensor20
113,2017-06-16 02:33:03+00:00,1497598383000,181.15,Sensor20
114,2017-06-16 02:32:51+00:00,1497598371000,181.15,Sensor20
115,2017-06-16 02:32:43+00:00,1497598363000,181.15,Sensor20
116,2017-06-16 01:48:41+00:00,1497595721000,2161.94,Sensor20
117,2017-06-16 01:42:28+00:00,1497595348000,85.98,Sensor20
118,2017-06-16 01:40:12+00:00,1497595212000,54.49,Sensor20
119,2017-06-16 01:40:06+00:00,1497595206000,54.49,Sensor20
120,2017-06-16 01:37:48+00:00,1497595068000,114.76,Sensor20
121,2017-06-16 01:37:32+00:00,1497595052000,54.57,Sensor20
122,2017-06-16 01:34:48+00:00,1497594888000,39.19,Sensor20
123,2017-06-16 01:32:56+00:00,1497594776000,37.75,Sensor20
124,2017-06-16 01:32:52+00:00,1497594772000,37.75,Sensor20
125,2017-06-16 01:26:43+00:00,1497594403000,47.94,Sensor20
126,2017-06-16 01:24:51+00:00,1497594291000,25.74,Sensor20
127,2017-06-16 01:22:36+00:00,1497594156000,1806.7,Sensor20
128,2017-06-16 01:17:48+00:00,1497593868000,98.87,Sensor20
129,2017-06-16 00:38:04+00:00,1497591484000,66.32,Sensor20
130,2017-06-16 00:35:36+00:00,1497591336000,48.31,Sensor20
131,2017-06-16 00:35:21+00:00,1497591321000,2287.66,Sensor20
